date, value
19-Dec-1975,0.8686
22-Dec-1975,0.879
23-Dec-1975,0.8775
24-Dec-1975,0.875
29-Dec-1975,0.871
30-Dec-1975,0.871
31-Dec-1975,0.8725
5-Jan-1976,0.871
6-Jan-1976,0.869
7-Jan-1976,0.889
8-Jan-1976,0.909
9-Jan-1976,0.9165
12-Jan-1976,0.9365
13-Jan-1976,0.932
14-Jan-1976,0.9447
15-Jan-1976,0.941
16-Jan-1976,0.945
19-Jan-1976,0.965
20-Jan-1976,0.967
21-Jan-1976,0.9562
22-Jan-1976,0.9505
23-Jan-1976,0.935
26-Jan-1976,0.9175
27-Jan-1976,0.9375
28-Jan-1976,0.9535
29-Jan-1976,0.9465
30-Jan-1976,0.95
2-Feb-1976,0.9675
3-Feb-1976,0.9605
4-Feb-1976,0.9745
5-Feb-1976,0.9895
6-Feb-1976,1.0095
9-Feb-1976,1.0295
10-Feb-1976,1.0133
11-Feb-1976,1.023
13-Feb-1976,1.0335
17-Feb-1976,1.0135
18-Feb-1976,1.0105
19-Feb-1976,1.0114
20-Feb-1976,0.9914
23-Feb-1976,0.9835
24-Feb-1976,0.988
25-Feb-1976,0.973
26-Feb-1976,0.9551
27-Feb-1976,0.9627
1-Mar-1976,0.9515
2-Mar-1976,0.9657
3-Mar-1976,0.971
4-Mar-1976,0.983
5-Mar-1976,0.988
8-Mar-1976,0.9815
9-Mar-1976,0.9854
10-Mar-1976,0.986
11-Mar-1976,0.974
12-Mar-1976,0.9793
15-Mar-1976,0.9612
16-Mar-1976,0.961
17-Mar-1976,0.981
18-Mar-1976,0.998
19-Mar-1976,0.996
22-Mar-1976,1.016
23-Mar-1976,1.0245
24-Mar-1976,1.039
25-Mar-1976,1.0413
26-Mar-1976,1.0392
29-Mar-1976,1.0592
30-Mar-1976,1.067
31-Mar-1976,1.087
1-Apr-1976,1.107
2-Apr-1976,1.1235
5-Apr-1976,1.1435
6-Apr-1976,1.1635
7-Apr-1976,1.1475
8-Apr-1976,1.1675
9-Apr-1976,1.1875
12-Apr-1976,1.2075
13-Apr-1976,1.198
14-Apr-1976,1.218
15-Apr-1976,1.2355
